Model Xe,Năm Sản Xuất,Gía Tiền,Xuất Xứ,Tình Trạng,Dòng Xe,Số KM Đã Đi,Màu Ngoại Thất,Màu Nội Thất,Số Chỗ Ngồi,Động Cơ,Hệ Thống Nạp Nhiên Liệu,Hộp Số,Dẫn Động,Thành Phố MPG,Cao Tốc MPG,Chiều Dài Cơ Sở,Chiều Dài Xe,Chiều Rộng Xe,Chiều Cao Xe,Độ Nặng,Kích Thước Động Cơ,Tỷ Số Đường Kính Xy Lanh & Pít Tông,Stroke,Mã Lực,Số Vòng Quay Cực Đại,Địa Chỉ
Chrysler Pacifica Touring-L,2022,747500000,Xe nước ngoài,1,Van-minivan,40101,Áo khoác pha lê đen rực rỡ,Gỗ mun,7,"Nhiên liệu linh hoạt 3,5L",Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,84.8,129.2,82.9,81,2037,164,3.12,2.79,124,4708,1551 E Semoran Blvd
Ford E-350 and Econoline 350 Super Duty,2017,687700000,Xe nước ngoài,1,Van-minivan,150194,Oxford trắng,Unknown,6,"Xăng 3,5L",Unknown,Số tự động,RFD - Dẫn động cầu sau,15,38,78.8,119.4,81.5,82.9,2621,183,2.93,3.78,86,4117,1210 Northlake Blvd
"Ford Transit 350 148"" Medium Roof",2017,678500000,Xe nước ngoài,1,Van-minivan,146486,Trắng,Xám,5,"Xăng 3,5L",Unknown,Số tự động,RFD - Dẫn động cầu sau,15,27,77.9,155.3,74.7,75.2,2695,163,3.24,3.6,75,5549,5675 PEACHTREE INDUSTRIAL BLV
Chrysler Pacifica Limited w/ S Appearance Package,2020,641355000,Xe nước ngoài,1,Van-minivan,110104,Áo khoác trong suốt bằng kim loại bạc billet,Unknown,5,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,74.1,99,83.6,83,1921,158,3.01,3.75,89,5221,99 TIM SHORT DRIVE
Chrysler Pacifica Touring-L,2021,597885000,Xe nước ngoài,1,Van-minivan,132904,Áo khoác pha lê đen rực rỡ,Màu xám đậm của palazzo,7,Xăng 3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,69.8,93.8,87.3,71.8,1840,195,3.07,3.39,78,6127,1980 South West Topeka Blvd
Chrysler Pacifica Limited,2017,597885000,Xe nước ngoài,1,Van-minivan,109891,Áo khoác trắng sáng,Unknown,5,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,18,28,69.8,130.3,89.2,80.3,2696,178,3.22,3.07,105,5206,51466 State Road 19
Toyota Sienna XLE,2016,482977000,Xe nước ngoài,1,Van-minivan,183992,Trắng,Unknown,7,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,18,25,58.3,109.1,78.3,76.5,1573,164,3.17,2.94,85,5213,9570 Southwest Freeway
Ford Transit Connect Titanium,2017,457700000,Xe nước ngoài,1,Van-minivan,166075,Trắng đông lạnh,Đen,6,"Xăng 6,8L",Unknown,Số tự động,FWD - Dẫn động cầu trước,19,27,55.8,97.6,85.2,73.2,1718,83,3.12,3.52,114,6218,488 US HIGHWAY 1
Dodge Grand Caravan GT,2018,414000000,Xe nước ngoài,1,Van-minivan,137288,Áo khoác trong suốt màu trắng,Unknown,6,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,25,51.4,90.2,83.5,81.6,1608,197,2.97,3.58,175,4806,1470 HIGHWAY 98 E
Ford Transit Connect XL,2015,407790000,Xe nước ngoài,1,Van-minivan,89720,Panther đen kim loại,Unknown,7,Xăng 3.7L,Unknown,Số tự động,FWD - Dẫn động cầu trước,21,28,50.8,106.7,88.9,68.4,1601,149,3.14,3.56,67,6402,8310 VETERANS HWY
Kia Sedona SX Limited,2015,396221000,Xe nước ngoài,1,Van-minivan,136853,Bạc sáng,Đá lửa vừa,6,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,18,24,49.6,92.7,85.4,84,2520,174,3.02,3.4,129,4725,2215 S 500 W
Ford Mustang GT w/ Equipment Group 301A,2022,879474000,Xe nước ngoài,-1,Coupe,8925,Tinh nghịch màu tím kim loại,Unknown,2,Xăng 3.6L,Unknown,Số tay,RFD - Dẫn động cầu sau,15,24,97.9,157.4,74.8,66.8,2707,76,3.09,3.13,123,4151,26895 Ynez Rd
Porsche 911 Carrera S,2020,2932247000,Xe nước ngoài,1,Coupe,17230,Agate màu xám kim loại,Unknown,2,Xăng 3.6L,Unknown,Số tự động,RFD - Dẫn động cầu sau,18,24,303.2,91,89,71.1,2653,210,3.22,3.52,74,4797,18118 N Scottsdale Rd
Chevrolet Corvette Stingray Preferred Cpe w/ Z51 Performance Package,2023,2116000000,Xe nước ngoài,1,Coupe,5549,Khuếch đại màu cam tintcoat,Unknown,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,24,221.6,102.3,79.9,71.5,1791,81,2.95,3.83,167,4806,4100 TAMIAMI TRL N
Chevrolet Camaro ZL1,2021,1568117000,Xe nước ngoài,1,Coupe,24184,Hội nghị thượng đỉnh trắng,Unknown,2,Nhiên liệu linh hoạt 3.5L,Unknown,Số tay,RFD - Dẫn động cầu sau,14,20,166.8,143.7,78.5,77.7,1908,127,3.23,3.85,144,5336,9740 E Adamo Drive
Porsche Cayman S,2014,1563264000,Xe nước ngoài,1,Coupe,12621,Màu đỏ,Unknown,2,Xăng 2.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,39,43,166.3,110.3,75.4,74.5,1676,100,3.13,3.87,148,4665,1493 PARK AVE W
Dodge Challenger R/T Scat Pack,2021,1263827000,Xe nước ngoài,1,Coupe,21314,Màu chàm,Unknown,2,Điện3.6L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,24,136.4,121.4,80.5,73.7,2373,182,2.96,2.95,169,5522,4220 W. Expressway 83
Chevrolet Corvette Stingray Coupe w/ 3LT Preferred Equipment Group,2015,1207500000,Xe nước ngoài,1,Coupe,32539,Áo khoác pha lê màu đỏ,Unknown,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,38,42,130.8,121,75.1,83.4,2506,168,3.11,3.08,87,6153,1016 North Main Street
Dodge Challenger R/T Scat Pack w/ 1320 Drag Pack,2019,941827000,Xe nước ngoài,1,Coupe,67621,Áo khoác ngọc trai đỏ octane,Unknown,2,Xăng 2.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,24,104.2,112.4,86,81,2026,100,2.87,2.79,142,4932,2000 HAMNER AVE
Toyota Supra,2021,1195885000,Xe nước ngoài,1,Coupe,29008,Nhiễu loạn màu xám,Than đen,2,"Điện3,3L",Unknown,Số tự động,RFD - Dẫn động cầu sau,22,30,129.6,114.5,84.3,70.2,1860,150,3.18,3.53,172,6056,2828 Amherst Avenue
BMW 430i Coupe w/ M Sport Package,2023,1150000000,Xe nước ngoài,1,Coupe,12371,Kim loại sapphire đen,Unknown,2,Điện5.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,25,34,125,106.6,80.6,74.5,2382,211,3.2,3.57,187,6161,541 MARY ESTHER CUT OFF NW
Chevrolet Corvette Stingray Coupe,2014,1126655000,Xe nước ngoài,1,Coupe,51200,Ngọn đuốc đỏ,Unknown,2,ĐiệnLanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,27,122.7,96.9,89.2,67.4,1534,125,3.13,2.98,100,5149,51466 State Road 19
BMW 440i xDrive Coupe w/ Premium Package,2021,1103977000,Xe nước ngoài,-1,Coupe,36040,Màu xanh kim loại portimao,Gỗ mun,2,Điện3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,120.4,102.7,75.7,71.2,2128,153,2.97,3.12,75,5985,9570 Southwest Freeway
Maserati GranTurismo Sport,2016,1103885000,Xe nước ngoài,1,Coupe,17506,Blu oceano kim loại,Unknown,2,Xăng 6.2L,Unknown,Số tự động,RFD - Dẫn động cầu sau,13,21,120.4,92.3,86.1,66.5,2614,101,2.93,3.77,98,4310,25300 SW Parkway Ave
BMW 440i xDrive Coupe w/ Premium Package,2021,1080977000,Xe nước ngoài,-1,Coupe,59333,Kim loại sapphire đen,Unknown,2,Xăng 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,118.1,158.8,86.1,79.2,1519,105,3.17,3.2,169,5508,9570 Southwest Freeway
INFINITI Q60 Red Sport 400 w/ Cargo Package,2022,1069293000,Xe nước ngoài,-1,Coupe,36136,Phiến đá xám,Unknown,2,"Xăng 3,4L",Unknown,Số tay,RFD - Dẫn động cầu sau,20,27,116.9,145.5,88.8,78.1,1525,155,2.8,3.17,103,4664,14705 GULF FWY
Dodge Challenger R/T Scat Pack w/ Driver Convenience Group,2020,1012000000,Xe nước ngoài,1,Coupe,31514,Lớp phủ ngọc trai bằng đá granit,Unknown,2,Nhiên liệu linh hoạt Lanh,Unknown,Số tay,RFD - Dẫn động cầu sau,14,23,111.2,135.6,79.8,73.9,1899,119,2.86,3.72,184,6237,541 MARY ESTHER CUT OFF NW
Ford Mustang GT w/ GT Performance Package,2019,1009700000,Xe nước ngoài,1,Coupe,14798,Oxford trắng,Unknown,2,Diesel 6.4L,Unknown,Số tay,RFD - Dẫn động cầu sau,15,24,111,157,88.2,81.9,1661,130,3.15,3.01,80,6274,1551 E Semoran Blvd
Ford Mustang GT Premium w/ Equipment Group 401A,2021,1000500000,Xe nước ngoài,1,Coupe,8610,Màu xanh da trời,Đen,2,Diesel 6.2L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,24,110.1,105.4,77.4,82.1,2184,133,3.23,3.44,155,4817,8940 Colerain Ave
Mercedes-Benz C 43 AMG 4MATIC Coupe,2019,943000000,Xe nước ngoài,1,Coupe,79440,Ánh trăng xanh kim loại,Unknown,2,Diesel Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,19,27,104.3,126.1,86.5,80,1596,151,3.23,3.39,83,5900,3800 W Hillsborough Ave
Chevrolet Camaro SS,2018,908500000,Xe nước ngoài,1,Coupe,59024,Đen,Unknown,2,Diesel 6.4L,Unknown,Số tự động,RFD - Dẫn động cầu sau,17,27,100.9,136.3,84.5,74.9,1470,123,3.06,3.17,123,5390,1551 E Semoran Blvd
INFINITI Q60 3.0t Luxe w/ Cargo Package,2021,896793000,Xe nước ngoài,1,Coupe,24462,Bóng than chì,Unknown,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,19,28,99.7,128.4,75.9,76.6,1500,85,3.08,3.45,93,6323,5501 W Sample Rd
Ford Mustang GT Premium,2022,894700000,Xe nước ngoài,1,Coupe,48350,Oxford trắng,Unknown,2,Xăng 3.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,15,24,99.5,98.3,76.7,83.8,1478,179,3.19,3.81,72,5513,1212 COMMERCE DR
Ford Mustang GT Premium w/ GT Performance Package,2021,879382000,Xe nước ngoài,1,Coupe,56299,Xám,Tacora đỏ,2,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,33,38,97.9,99.2,78.3,82.8,2357,195,3.13,3.16,152,5048,925 Interstate 45 S
Cadillac ATS V w/ Luxury Package,2016,841685000,Xe nước ngoài,1,Coupe,108166,Quạ đen,Unknown,2,Xăng 2.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,20,29,94.2,123.7,79.8,79.6,2684,142,3.21,2.94,160,5878,11655 North Fwy
Lexus RC 350 AWD,2017,804977000,Xe nước ngoài,1,Coupe,56957,Hồng ngoại,Unknown,2,Điện6.2L,Unknown,Số tay,AWD - 4 bánh toàn thời gian,19,26,90.5,110.9,82.9,76.6,2349,213,3.03,3.17,107,4405,1100 East Golf road
Dodge Challenger R/T Scat Pack,2016,804333000,Xe nước ngoài,1,Coupe,69382,Áo khoác ngọc trai điên mận,Unknown,2,Diesel Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,14,23,90.4,104.4,84.9,82.4,1689,108,2.89,3.63,152,6473,510 HARCOURT RD
Dodge Challenger R/T,2021,666793000,Xe nước ngoài,1,Coupe,89046,Áo khoác trong suốt màu trắng,Da thú,2,Nhiên liệu linh hoạt 3.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,16,25,76.7,142.6,85.5,68.9,2196,103,3.25,3.12,80,5272,3800 W. Hillsborough Avenue
Chevrolet Malibu Premier w/ Sun and Wheel Package,2019,539028000,Xe nước ngoài,-1,Sedan,93120,Hội nghị thượng đỉnh trắng,Unknown,5,Diesel Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,32,63.9,100.2,76.3,72.6,1918,113,3.01,2.89,90,6417,5500 South State Street
Ford Focus SE w/ SE Cold Weather Package,2015,241500000,Xe nước ngoài,1,Sedan,132504,Tuxedo đen,Unknown,5,Xăng 4.7L,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,42,34.2,100.8,84.2,84.5,2494,103,3.13,3.74,134,5530,1506 18TH ST
Nissan Altima 2.5 SR,2022,503700000,Xe nước ngoài,1,Sedan,57986,Sông băng trắng,Unknown,4,Diesel Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,28,39,60.4,156.4,79.4,67.8,2683,189,2.88,3.75,98,5508,418 Piedmont Drive
BMW 530i xDrive,2019,689885000,Xe nước ngoài,1,Sedan,66174,Kim loại màu nâu jatoba,Đen,4,Diesel 3.0L,Unknown,Số tay,AWD - 4 bánh toàn thời gian,23,33,79,102.4,77.4,74.1,2150,166,2.87,3.35,137,5535,220 Route 46 East
Cadillac CT5 V Blackwing,2023,2645000000,Xe nước ngoài,1,Sedan,6378,Rạn nứt kim loại,Unknown,5,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,13,21,274.5,127.8,83.2,65.3,1476,147,3.14,3.5,74,5308,6252 E Virginia Beach Blvd
Mercedes-Benz EQE 500 4MATIC Sedan,2023,1655977000,Xe nước ngoài,1,Sedan,9400,Xám,Gỗ mun,4,Xăng 3.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,40,175.6,123.3,75.4,72.6,2209,187,3.19,3.48,83,5275,20822 KATY FWY
BMW M550i xDrive w/ Executive Package,2020,1333977000,Xe nước ngoài,-1,Sedan,46933,Azurite đen ii kim loại,Unknown,4,Diesel Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,18,25,143.4,163.7,85.4,75.4,2058,144,3.11,3.87,138,5419,9570 Southwest Freeway
Dodge Charger SRT Hellcat w/ Harman/Kardon Audio Group,2019,1303180000,Xe nước ngoài,1,Sedan,91317,B5 ngọc trai xanh,Unknown,5,Diesel 6.4L,Unknown,Số tự động,RFD - Dẫn động cầu sau,13,22,140.3,96.6,78,65.5,2189,209,3.06,3.48,135,5921,444 NW 165TH STREET RD
Toyota Crown Platinum,2023,1298143000,Xe nước ngoài,1,Sedan,3125,Oxy trắng,Xám,4,Diesel 5.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,29,32,139.8,97.9,89.7,81.1,1844,201,3.02,3.62,107,5557,2380 South Highway 89
Genesis G70 3.3T,2023,1123205000,Xe nước ngoài,1,Sedan,6274,Màu xanh tasman,Unknown,4,Diesel 5.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,18,27,122.3,131.2,81.4,70.6,2040,170,2.86,2.91,177,4811,3800 W Hillsborough Ave
Genesis G70 3.3T,2023,1033459000,Xe nước ngoài,1,Sedan,9411,Hallasan xanh,Unknown,5,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,18,27,113.3,132,76,78.9,1927,123,2.87,3.63,186,5388,13731 HARBOR BLVD
Lexus IS 350 F Sport,2021,919770000,Xe nước ngoài,1,Sedan,68982,Đen,Unknown,5,Diesel 3.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,20,28,102,156.8,78.9,74.1,2387,113,3.18,3.55,142,4587,3383 Satellite Boulevard
Tesla Model 3 Long Range,2021,917585000,Xe nước ngoài,1,Sedan,27579,Chất rắn màu đen,Unknown,5,Xăng 6.2L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,32,101.8,110.2,74.7,66.4,1531,162,3.25,3.55,153,4643,4525 Nelson Brogdon Boulevard
Lexus ES 350 w/ Premium Package,2021,896885000,Xe nước ngoài,1,Sedan,53536,Ngọc trai xám tinh vân,Unknown,4,ĐiệnLanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,22,31,99.7,159.9,78.3,69.1,1522,117,3.13,2.77,112,4785,5955 Peachtree Industrial Blv
Acura TLX w/ Technology Package,2021,892124000,Xe nước ngoài,-1,Sedan,13915,Ngọc trai tím huyền ảo,Unknown,4,Điện3.0L,Unknown,Số tay,FWD - Dẫn động cầu trước,20,29,99.2,121.8,84.4,81,1915,139,3.22,3.18,130,4891,219 Miracle Strip Pkwy
INFINITI Q50 Sensory w/ Cargo Package,2021,875380000,Xe nước ngoài,-1,Sedan,16707,Màu trắng tinh khiết,Unknown,4,Hybrid5.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,20,28,97.5,102.5,78.8,70.9,2035,147,3.25,2.78,127,6377,1804 MONTGOMERY HWY S
Mercedes-Benz E 450 4MATIC Sedan,2019,873977000,Xe nước ngoài,1,Sedan,60830,Trắng,Đen,5,Điện5.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,16,22,97.4,135.1,80.4,78.6,2552,195,3.12,3.18,130,4263,9570 Southwest Freeway
Subaru WRX STI,2020,871999000,Xe nước ngoài,1,Sedan,46907,Ngọc trai xanh,Unknown,4,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,25,33,97.2,136.9,87.4,77.8,2446,202,3.11,2.85,84,6212,125 West Grand Avenue
Tesla Model 3 Standard Range,2023,871585000,Xe nước ngoài,1,Sedan,7112,Trắng,Đen,5,Xăng 3.6L,Unknown,Số tự động,RFD - Dẫn động cầu sau,25,34,97.2,134.1,76.5,72.6,1862,161,2.83,3.77,100,5022,20700 NW 2nd Ave
Tesla Model 3 Long Range,2020,850724000,Xe nước ngoài,1,Sedan,41968,Sơn nhiều lớp màu trắng ngọc trai,Unknown,5,ĐiệnLanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,19,30,95.1,154.2,80.5,76.9,1657,75,2.92,3.86,131,5250,11315 US Highway 70 W
Tesla Model 3 Long Range,2020,828000000,Xe nước ngoài,1,Sedan,56198,Kim loại màu xanh đậm,Unknown,4,Xăng 3.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,22,31,92.8,122.2,81.5,81.8,1532,210,3.12,3.01,179,5035,21830 Pacific Boulevard
BMW 530i w/ Premium Package,2021,827908000,Xe nước ngoài,1,Sedan,64606,Phytonic màu xanh kim loại,Than đen,4,ĐiệnLanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,22,33,92.8,142.4,83.3,69.4,2013,126,3.04,3.32,114,4575,20822 KATY FWY
BMW 330i xDrive Sedan w/ M Sport Package,2021,827885000,Xe nước ngoài,1,Sedan,26981,Màu xanh kim loại portimao,Unknown,4,Xăng 6.4L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,16,25,100.4,115.1,82.6,72,1821,92,3.13,3.85,94,4643,1515 State Route 23
Dodge Charger GT w/ Navigation & Travel Group,2023,827885000,Xe nước ngoài,1,Sedan,5741,Áo khoác trong suốt màu đen tuyền,Than củi,5,"Xăng 5,7L",Unknown,Số tự động,RFD - Dẫn động cầu sau,16,22,92.8,113.5,84.2,68.8,1636,109,3.16,3.3,165,4471,5955 Peachtree Industrial Blv
Lexus ES 350 w/ Premium Package,2020,827885000,Xe nước ngoài,1,Sedan,48578,Bạc nguyên tử,Unknown,4,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,24,92.8,109.8,81.3,80.9,1739,200,2.86,3.6,151,4813,5955 Peachtree Industrial Blv
Lexus ES 350,2019,827770000,Xe nước ngoài,1,Sedan,31502,Ngọc trai trắng nổi tiếng,Unknown,4,Xăng 2.0L,Unknown,Số tự động,FWD - Dẫn động cầu trước,44,47,92.8,98.7,81.5,75.1,2277,160,2.91,3.8,75,5114,3383 Satellite Boulevard
Dodge Charger R/T,2021,816500000,Xe nước ngoài,1,Sedan,42302,Gò xoài,Unknown,4,Hybrid2.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,27,34,91.7,122,77.1,84.2,1823,126,2.89,3.72,154,4207,488 US HIGHWAY 1
Chevrolet Silverado 1500 RST w/ All-Star Edition,2019,879635000,Xe nước ngoài,1,Truck,117355,Thép satin kim loại,Unknown,6,HybridLanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,15,18,98,111.8,83.8,76.7,1665,174,3.17,3.41,133,5860,3707 SUMMERHILL RD
Ford F150 Lariat,2019,788877000,Xe nước ngoài,1,Truck,114976,Mã não đen kim loại,Unknown,4,Xăng 2.5L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,26,39,116.4,144.8,75.8,78.5,2173,176,3.24,3.45,155,5668,1234 LONG RUN ROAD
RAM 3500 Limited w/ Max Tow Package,2020,1886874000,Xe nước ngoài,1,Truck,26230,Lớp phủ trong suốt bằng kim loại pha lê granite,Unknown,3,Xăng Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,15,18,115.2,110.5,82.2,69.5,2028,150,2.98,2.84,83,5905,2600 COLONIAL BLVD
Ford F350 King Ranch w/ King Ranch Ultimate Package,2021,1862977000,Xe nước ngoài,1,Truck,60142,Mã não đen kim loại,Unknown,3,Xăng 2.0L,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,14,17,95.3,118.9,79.3,75.6,1456,151,2.78,3.18,95,5458,1330 301st Avenue NE
Ford F150 Raptor w/ Convenience Package,2022,1839701000,Xe nước ngoài,-1,Truck,33072,Mã màu cam kim loại,Unknown,2,Xăng 6.2L,Unknown,Số tự động,FWD - Dẫn động cầu trước,17,22,108.2,115.5,83.4,77.5,1473,210,3.11,3.58,165,5470,5707 E GATE BLVD
Ford F450 King Ranch w/ King Ranch Ultimate Package,2021,1837700000,Xe nước ngoài,1,Truck,88573,Áo ba lớp ánh kim màu trắng ngôi sao,Unknown,3,Xăng ,Unknown,Số tự động,FWD - Dẫn động cầu trước,43,49,105.8,155.6,88.8,78.4,2669,213,2.85,3.14,77,5213,3990 W Highway 501
RAM 2500 Longhorn,2022,1803407000,Xe nước ngoài,1,Truck,28818,Áo khoác ngọc trai pha lê đen kim cương,Đen,2,Xăng 4.4L,Unknown,Số tự động,FWD - Dẫn động cầu trước,34,45,114.2,114.1,85.3,77.2,2542,81,2.95,3.26,71,5275,1915 N SALISBURY BLVD
